,Title
48,The Poetical Works of Joseph Addison; Gay's Fables; and Somerville's Chase
49,"L'Esprit d'Addisson, ou les Beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr"
50,"Addisoni Epistola missa ex Italiâ ad illustrem Dominum Halifax, anno 1701"
51,Augustin Freiherr von Meyerberg und seine Reise nach Russland
52,Studien zur Cultur-Geschichte Polens
53,"The Diary and Houres of the Ladye Adolie, a faythfulle childe"
54,"Lays of Modern Oxford, by Adon"
55,"Adriano; or, the first of June, a poem"
56,The Adventures of a Post Captain
57,Histoire de la Ville de Sceaux depuis son origine jusqu'à nos jours 
58,"The National Advocates, a poem"
59,Das Hochgebirge von Grindelwald
60,Prometheus the Fire-giver
61,Cosmographiam Æthici Istrici ab Hieronymo ex Graeco in Latinum breviarium redactam 
62,The Children of Africa
63,"Prospectus of an Expedition into the Interior of South Africa from Dalagoa Bay, etc"
64,Försök till en statsekonomisk statistik öfver Sverige
65,Inledning till Sveriges fysiska geografi
66,Geological Sketches
67,"Voyage au Brésil, traduit de l'anglais "
68,Agatha's Husband
69,[Agatha's Husband
70,The Age Reviewed: a satire
71,[The Age Reviewed: a satire
72,Through the Ages
73,"Agis: a tragedy, etc"
74,The Gem of the Season: with twenty plates by Sartain
75,Mathurá: a District Memoir
76,"Ahasuerus, the Wanderer; a dramatic legend [in verse] "
77,Skandinavische Hof- und Staatsgeschichten des neunzehnten Jahrhunderts
78,The Works of Anna Lætitia Barbauld
79,The Vicar of Wakefield 
80,[Essays on song-writing: with a collection of such English songs as are most eminent for poetical merit
81,Кіево-Софійскій Соборъ
82,Robert Ainsleigh
83,"A Pilgrimage to the Land of Burns, and Poems "
84,The illustrated universal gazetteer
85,"Wanderings in every Clime; or, voyages, travels, and adventures all round the world "
86,"Boscobel; or, the Royal Oak"
87,The Constable of the Tower: an historical romance 
88,"[The Flitch of Bacon: or, the Custom of Dunmow"
89,Mervyn Clitheroe 
90,Ovingdean Grange
91,[Rookwood 
92,The Spendthrift: a tale 
93,L'Auvergne
94,Plimsoll's England
95,[The Poetical Works of Mark Akenside 
96,[Hymn to the Naiads
97,"Triscombe Stone: a romance of the Quantock Hills, etc"
98,Κερκυραϊκα ἀπομνημονευματα
99,"Scenes and Occurrences in Albany and Cafferland, South Africa"
100,"Albert and Rosalie, or the Fire King"
101,"The Prince Albert, a poem"
102,"The Cruise of Her Majesty's Ship “Bacchante,” 1879-1882"
103,Annali del principato ecclesiastico di Trento dal 1022 al 1540 compilati sui documenti da F
104,"De Kaffers aan de zuidkust van Afrika, natuur en geschiedkundig beschreuen"
105,Francisci Albertini Opusculum de mirabilibus novae urbis Romae
106,Alla Nuova Guinea: ciò che ho veduto e ciò che ho fatto
107,Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich
108,[Panowanie Henryka Walezyusza i Stefana Batorego krolów Polskich
109,"Albion; or, the Court of Neptune"
110,The Albion Princess: a pindaric ode
111,"The Geographical and Historical Dictionary of America and the West Indies, containing an entire translation of the Spanish work of "
112,Alcestis
113,"Spiritual Alchemy; or, Trials turned to Gold"
114,Recollections of an Excursion to the Monasteries of Alcobaça & Batalha
115,"Poems, &c"
116,History of the United States Marine Corps 
117,Alec's Bride
118,Narrative of a Voyage of Observation among the Colonies of Western Africa 
119,"Travels to the Seat of War in the East, through Russia and the Crimea, in 1829, etc"
120,"A Journey to Beresford Hall, the seat of Charles Cotton Esqre, the celebrated author and angler"
121,The Earl of Stirling's Register of Royal Letters relative to the affairs of Scotland and Nova Scotia from 1615 to 1635
122,"[Johnny Gibb of Gushetneuk, in the parish of Pyketillim; with glimpses of the parish politics about A"
123,His Imperial Highness the Grand Duke Alexis in the United States of America during the winter of 1871-72
124,Rückblicke auf Algier und dessen Eroberung 
125,Through Algeria
126,"Travels in Algeirs, Spain, &c"
127,"Ali Baba, or the Forty Thieves"
128,Nos Africains
129,"Notice sur le château, les anciens seigneurs et la paroisse de Mauvezin, près Marmande "
130,Alison
131,[A Sermon preached 
132,Atlas to accompany Alison's History of Europe
133,"History of Europe from the commencement of the French Revolution in 1789, to the Restoration of the Bourbons "
134,All Wrong
135,"All the Talents' Garland; or, a Few Rockets let off at a celebrated Ministry"
136,"Geschiedenis en beschrijving van Haarlem, van de vroegste tijden tot op onze dagen, door F"
137,"Military Operations in Eastern Maine and Nova Scotia during the Revolution, chiefly compiled from the journals and letters of Colonel John Allan, with notes and a memoir of Col"
138,The Army of Northern Virginia in 1862 
139,History of the Campaign of Gen
140,"Breve fra danske Krigsmænd, skrevne til Hjemmet under Felttogene 1848, 1849, 1850"
141,"Danskhedens Skjæbne i Slesvig, udarbeidet efter Prof"
142,"Histoire de Danemark depuis les temps les plus reculés jusqu'à nos jours, avec une bibliographie et des tables généalogiques "
143,"Geschichte des Königreiches Dänemark, mit steter Rücksicht auf die innere Entwickelung in Staat und Volk "
144,"De tre nordiske Rigers Historie under Hans, Christiern den Anden, Frederik den Første, Gustav Vasa, Grevefeiden"
145,The White Man's Foot 
146,A History of the American Revolution 
147,Last Letters of R
148,History of the Counties of Surrey and Sussex 
149,Across Asia on a Bicycle: the journey of two American students from Constantinople to Peking
150,"A Narrative of the Expedition sent by Her Majestys Government to the River Niger in 1841, under the command of Capt"
151,"Captain Cuellar's Adventures in Connacht & Ulster, A"
152,Lições de Historia Patria 
153,Praes
154,[Lucé et ses environs aux XVIIe et XVIIIe siècles
155,"Alpine Sketches, comprised in a short tour through parts of Holland, Flanders, France, Savoy, Switzerland and Germany, during the summer of 1814"
156,"The Diary of a Traveller over Alps and Appenines; or, Daily minutes of a circuitous excursion"
157,The Maritime Alps and their Seaboard
158,'Alter Ejusdem': being another instalment of lilts and lyrics
159,[Historia Chichimeca
160,Proceso de Residencia contra Pedro de Alvarado (y Nuño de Guzman)
161,Histoire du Mexique 
162,"Tratado breve dos Rios de Guiné do Cabo-Verde, desde o Rio do Sanagá até aos baixos de Sant' Anna "
163,"Itinerarios y derroteros de la República Mexicana, etc"
164,"Correspondance du Duc d'Albe sur l'invasion du Comte Louis de Nassau en Frise, en 1568, et les batailles de Heyligerlée et de Gemmingen; publiée par M"
165,"Amadis de Gaul: a poem in three books; freely translated from the first part of the French version of Nicolas de Heberay [sic], Sieur des Essars; with notes: by William Stewart Rose: Amadis de Gaula (Spanish romance)"
166,La Rivoluzione francese e l'ultimo de' pretesi Luigi XVII [i
167,History of the War of the Sicilian Vespers 
168,"Poems, by an Amateur [i"
169,"Louvois d'après sa correspondance, 1641-1691"
170,"Inventaire analytique des archives communales d'Amboise, 1421-1789"
171,America and the Americans
172,"Eighty Years' Progress of British North America, showing the developmentof its natural resources "
173,The American in England
174,The American in Paris
175,Captain Hall in America
176,"Desultory Reminiscences of a Tour through Germany, Switzerland and France"
177,"Essays, Descriptive and Moral; on Scenes in Italy, Switzerland, and France"
178,"A Journal of a Tour in Italy, in the year 1821"
179,Poems
180,Rambles in Italy in the years 1816-17
181,Sketches of Turkey in 1831 and 1832
182,A Short American Tramp in the fall of 1864
183,The Americans as they are; described in a tour through the valley of the Mississippi
184,Aristophanes at Oxford
185,"[An Epistle-with a Petition in it-to Sir John Blount, Bart"
186,Constantinople 
187,With illustrations
188,Morocco: its people and places 
189,Holland 
190,Holland 
191,On Blue Water 
192,Dizionario topografico della Sicilia 
193,La Dictadura de O'Higgins
194,Only a Drummer Boy
195,"Amyntor and Theodora: or, the Hermit"
196,"[Amyntor and Theodora: or, the Hermit"
197,The Renegado Whip't
198,Holy of Holies
199,"The Anatomist: or, the Sham Doctor"
200,An Anatomy of Atheisme: a poem
201,Historia de Yucatán desde la época más remota hasta nuestros días 
202,A Summer in Andalucia
203,The Story of the Mermaiden
204,A Poet's Bazaar
205,Pictures of Sweden
206,"Rambles in the romantic regions of the Hartz Mountains, Saxon Switzerland, &c"
207,A Romance of N'Shabé
208,"The Burns Centenary Poems, a collection of fifty of the best out of many hundreds written on occasion of the centenary celebration "
209,Handbook to the Highland Railway 
210,"Mandalay to Momien: a narrative of the two Expeditions to Western China of 1868 and 1875, under Colonel E"
211,Holloas from the Hills 
212,Notes of Travel in South Africa
213,"The Fortune of a Spendthrift, and other items"
214,The Archives of Andover
215,"Warnham, in the County of Sussex"
216,History of the Campaign of Mobile; including the co-operative operations of Gen
217,"Panorama van Neerlands verleden, door P"
218,"Diary of Colonel Israel Angell, commanding the Second Rhode Island Continental Regiment during the American Revolution, 1778-1781"
219,"Inventaire analytique des archives anciennes de la Mairie d'Angers, suivi de tables et de documents inédits, publié sous les auspices du Conseil municipal, par M"
220,Royauté ou Empire
221,"Masaniello, the fisherman of Naples: an historical play, etc"
222,Grundzüge der Landesnatur des Westjordanlandes 
223,Annals of a Fishing Village
224,Annals of an Eventful Life
225,"Annals of the Twenty-ninth Century; or, the Autobiography of the Tenth President of the World Republic"
226,Anna Ruina
227,"Voyages and Travels to India, Ceylon, the Red Sea, Abyssinia, and Egypt"
228,Annette
229,Storia di Civitavecchia dalla sua origine fino all' anno 1848
230,"La Valdinievole illustrata nella storia naturale, civile ed ecclesiastica dell'agricoltura, delle industrie e delle arti belle "
231,"Verses on the Death of Lady Anson, addressed to her father"
232,The Channel Islands 
233,[The Channel Islands 
234,The new Bath Guide 
235,"Baboo Jabberjee, B"
236,[The Tinted Venus: a farcical romance
237,South American Emancipation
238,"The Anti-Corsican, a poem, in three cantos; inscribed to the Volunteers of Great-Britain"
239,The New Antigone
240,Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day 
241,Chronicles of London Bridge: by an Antiquary [i
242,The Modern Antique: or the Muse in the costume of Queen Anne
243,"Antonini Placentini Itinerarium, im unentstellten Text mit deutscher Übersetzung herausgegeben von Dr"
244,Doctor Antonio: a tale
245,"Apollo turn'd Stroller; or, Thereby hangs a Tale"
246,"Songs, Choruses, &c"
247,The Appartion [sic]
248,"The Apparition, a romance"
249,"Appearance is against them; a farce in two acts, etc"
250,"The Vale of Apperley, and other poems"
251,Correspondence between Nathan Appleton and J
252,"The Young Apprentice; or, the Watch-words of old London"
253,"April-Day, a burletta, in three acts"
254,[Cupid & Psyche
255,"Cupid and Psyche: a mythological tale, from the Golden Ass of Apuleius"
256,"The Land of Ararat; or, Up the Roof of the World"
257,An English Garner
258,"Histoire des ducs et des comtes de Champagne, etc"
259,"[Les Premiers habitants de l'Europe d'après les auteurs de l'antiquité, et les recherches les plus récentes de la linguistique"
260,La Patria di Pietro Micca
261,Palerme et la civilisation en Sicile
262,Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51
263,"Arden of Feversham, a tragedy: reprinted from the edition of 1592"
264,Études algériennes
265,Hans Ardüser's rätische Chronik
266,"Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden"
267,"The Count Arezzi, a tragedy, in five acts"
268,Memorie istoriche per servire di guida al forestiero in Arezzo
269,"Mémoires d'Olivier d'Argens, et correspondances des généraux Charette, Stofflet, Puisaye, d'Autichamp, Frotté, Cormatin, Botherel; de l'abbé Bernier, etc"
270,A Narrative of the Voyage of the Argonauts in 1880; compiled by the bard [i
271,The Queen of Argos; a tragedy: in five acts
272,Procès-verbal de la généralité de Moulins dressé en 1686 
273,Refutación al discurso del Ilmo
274,Histoire populaire de Toulouse
275,Πλουτοφθαλμια πλουτογαμια
276,"The Frogs, a comedy"
277,"The History of Animals of Aristotle, and his Treatise on Physiognomy, translated from the Greek"
278,Aristotelis Ethicorum Nicomacheorum libri decem 
279,Ἀριστοτελους μετεωρολογικα
280,"Politique d'Aristote, traduite du grec, avec des notes et des éclaircissemens, par Charles Millon "
281,Arminell
282,Nelly Armstrong: a story of the day
283,"Monuments religieux, militaires et civils des Deux-Sèvres "
284,Germanicus 
285,East and West
286,Village Lyrics
287,"Jessie Arnold; or, the Murder at the Old Well"
288,John Arnold
289,Palms and Temples
290,Lettice Arnold
291,The Matthew Arnold Birthday-Book
292,"History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan "
293,Nordens enhet och Kristian II
294,[Arrian's History of Alexander's Expedition
295,Arrian's History of the Expedition of Alexander the Great 
296,The Anabasis of Alexander 
297,Ἀρριανος
298,Le Périple de la Mer Noire 
299,"[Notizie storiche della Valsassina e delle terre limitrofe dalla più rimota fino alla presente età, raccolte ed ordinate dall' ingegnere G"
300,Seven-Stones Light-Ship
301,[A Compendium of Ancient and Modern Geography 
302,The Art of Preserving Health: a poem
303,A Supplement to the Profund
304,"Arthur; or, a Knight of our own Day"
305,"Arthur; or, the Pastor of the Village; a poem"
306,King Arthur
307,The New King Arthur
308,Arthur's Guide to Carlisle 
309,"[Ten Nights in a Bar-Room, and what I saw there"
310,The Divine Artisan 
311,A Young Artist's Life
312,"Asaph; or, Faith's conflict with infidelity"
313,"Asaph; or the Herrnhuttens; being a rhythmical sketch of the principal events, and most remarkable institutions in the modern history of the Church of the Unitas Fratrum, commonly called Moravians "
314,"A Narrative by John Ashburnham of his attendance on King Charles the First from Oxford to the Scotch Army, and from Hampton-Court to the Isle of Wight: never before printed"
315,St
316,Mr
317,"Charles Letts's Date Book and Chronological Diary, or record of important events in English history, etc"
318,Asphodel
319,"The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the "
320,"[The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the "
321,"The Assassins of the Paradise, an Oriental tale, in four cantos"
322,Les Antiquitez et chroniques de la ville de Dieppe 
323,Görgei
324,"[The Assize Ball: or, Lucy of the moor"
325,De Platonis Phaedro 
326,Histoire de la République des États-Unis depuis l'établissement des prémières colonies jusqu'à l'élection du Président Lincoln 
327,Aston-Royal
328,The astrologer; a comedy
329,Blandt Nordpolens Naboer
330,With Peary near the Pole 
331,Atalanta
332,"The Atelier du Lys; or, an Art Student in the Reign of Terror"
333,"[The Atelier du Lys; or, an Art Student in the Reign of Terror"
334,"A Brief Account of the Researches and Discoveries in Upper Egypt, made under the direction of Henry Salt, Esq"
335,Athelstan
336,"A Letter from Athens, addressed to a friend in England"
337,The Dramatic Works of E
338,"Adrift: or, the Rock in the South Atlantic"
339,Reminiscences
340,"History of the Town of Plymouth, Connecticut, with an account of the centennial celebration, May 14 and 15, 1895"
341,Ein Polarsommer
342,Les Fiefs du Bourbonnais
343,Mémoires pour servir à l'histoire de Dombes 
344,"Professional Excursions, by an Auctioneer [i"
345,La Terreur en Bourbonnais
346,Führer durch die k
347,Les Environs de Rouen 
348,Routes et étapes
349,"The Career of Don Carlos, since the death of Ferdinand the Seventh: being a chapter in the history of Charles the Fifth"
350,Auld Lang Syne
351,"Histoire de deux ans, 1870-1871"
352,[Emma
353,[Mansfield Park: a novel
354,Northanger Abbey and Persuasion 
355,Pride and prejudice
356,Sense and sensibility
357,Memories of Early Days in South Australia
358,Western Australia in 1891
359,"Western Australia, containing a statement of the condition and prospects of that colony, and some account of the Western Australian Company's Settlement of Australind"
360,"Hints from the Journal of an Australian Squatter, late in the service of the Hon"
361,"Two Years in Ava, from May 1824 to May 1826"
362,Considérations géographiques sur l'histoire du Brésil
363,Les Navigations terre-neuviennes de Jean & Sébastien Cabot
364,"Note sur la première expédition de Béthencourt aux Canaries et sur le degré d'habileté nautique des Portugais à cette époque, etc"
365,"Les Voyages de Améric Vespuce au compte de l'Espagne et les mesures itinéraires employées par les marins espagnols et portugais des XVe et XVIe siècles, pour faire suite aux Considérations géographiques sur l'histoire du Brésil"
366,"Avillion, and other tales"
367,L'Avocat du diable: the Devil's Advocate; or Satan versus Pictor
368,"Descripcion é historia del Paraguay y del Rio de la Plata, obra póstuma"
369,"Memorias sobre el estado rural del Rio de la Plata en 1801; demarcacion de límites entre el Brasil y el Paraguay á últimos del siglo XVIII, é informes sobre varios particulares de la America meridional española"
370,[Viajes por la América del Sur 
371,Edwy and Elgiva: a romance of the olden time
372,The County Magistrate
373,The Farce of Life
374,The Fate of Folly 
375,Wealth and Labour
376,Masters and Workmen
377,Resignation
378,Reflections
379,France and her People
380,"Lays of Memory, sacred and social"
381,"The Hurricane: a poem, descriptive of the unparalleled perseverance and constancy of the seamen on board H"
382,Songs of Eternal Life
383,Songs of Eternal Life
384,The Duchess de la Vallière
385,John's [i
386,"The Battle of Maldon, and other renderings from the Anglo-Saxon; together with original verse"
387,"An Offering to the Muses, worthy of being “a burnt offering"
388,Duty's Call
389,"The Cruise round the World of the Flying Squadron 1869-1870, under the command of Rear Admiral G"
390,Magyarország 1848/49
391,Voyage au Canada 
392,“Bobs
393,Brian Boru
394,"Miscellaneous Poems, by J"
395,Helység-névtár
396,"Recollections of New Street, Birmingham in the Year 1817"
397,Réponse aux articles de M
398,Bubbles and Ballast
399,"Swythamley and its Neighbourhood, Past and Present"
400,"Tradesmen versus Salesmen!! A rhyme concerning foot-gear, etc"
401,"The Briny Deep; or, the Log of “The Flying Cloud"
402,The White Lady
403,[The Elephant's Ball and Grand Fete Champetre
404,Notes of a Voyage in the Orient Steamship Company's S
405,This Son of Vulcan
406,List of Books and Manuscripts relating to Orkney and Zetland; or in which these islands are mentioned
407,The Emigrants' Guide to South Africa 
408,Sunways: a record of rambles in many lands
409,"The Babes in the Wood; or, Harlequin and the Cruel Uncle"
410,Fallacies of Race Theories as applied to national characteristics
411,As Innocent as a Baby
412,Bilder aus Alt-Stuttgart 
413,"The Whimsical Bachelor, or Married at last"
414,[King's Dictionary of Boston 
415,The Works of Francis Bacon 
416,Kleinere Schriften des Lord Bacon
417,"Selections from the Works of Lord Bacon, comprising the prefaces to the Instauratio Magna and Novum Organum, the Distributio operis, and the fifth and seventh books De Augmentis Scientiarum"
418,The Annalls of Ipswche
419,"The Orientalist; containing a series of tales, legends, and historical romances "
420,Universal-Lexikon vom Grossherzogthum Baden
421,"The History of Norway, from the earliest times, by G"
422,Die Märztage des Jahres 1798
423,Thomas von Falkenstein und der Ueberfall von Brugg
424,Der vorgeschichtliche Mensch
425,L'Ommeganck de Bruxelles en 1615 d'après les tableaux de Denis van Alsloot
426,The Works of Walter Bagehot 
427,"Account of the Centennial Celebration of the Town of West Springfield, Mass"
428,Rękopism X
429,"Bonchamps et le passage de la Loire par l'Armée Vendéenne en 1793, etc"
430,Gujarát and the Gujarátis: pictures of men and manners taken from life
431,A History of the Ancient Town and Manor of Basingstoke 
432,"Observations on the Neilgherries, including an account of their topography, climate, soil & productions, and of the effects of the climate on the European constitution: "
433,The Neilgherries 
434,Historical Sketches of Andover 
435,Trifles in Verse
436,"Letters upon the Atalantis of Plato, and the ancient history of Asia: intended as a continuation of the Letters upon the origin of the sciences addressed to M"
437,History of Nairnshire
438,"History, Directory, and Gazetteer, of the County Palatine of Lancaster; with a variety of commercial & statistical information "
439,History of the County Palatine and Duchy of Lancaster 
440,[History of the County Palatine and Duchy of Lancaster 
441,[History of the County Palatine and Duchy of Lancaster 
442,[History of the Wars of the French Revolution 
443,Explorations in South-West Africa
444,Betram de Drumont
445,Kingscote Stories
446,Stories of the Streets of London 
447,Quiet War Scenes
448,"Noel or, It was to be"
449,Découverte de l'Albert N'yanza 
450,"Der Albert Nyanza, das grosse Becken des Nil und die Erforschung der Nilquellen "
451,Ismailïa
452,Lenau and Young Germany in America 
453,Op reis door Nederland
454,Études historiques sur la ville de Bayonne
455,Album des Balaton
456,"Novísima Geografia Universal, de España y Portugal "
457,"Gea, ossia la terra descritta secondo le norme di Adriano Balbi e le ultime e migliori notizie"
458,"The French in America during the War of Independence of the United States, 1777-1783"
459,Ingleton: bygone and present
460,"Lippincott, Grambo & Co's Gazetteer "
461,"African Hunting from Natal to the Zambesi including Lake Ngami, the Kalahari Desert, &c"
462,The Historical Works of Sir James Balfour 
463,The Diary of Martha Bethune Baliol from 1753 to 1754
464,"Lurline: a grand romantic original opera, in three acts, composed by W"
465,The Social History and Antiquities of Barton-upon-Humber
466,"Ballads of the Bench and Bar; or, Idle Lays of the Parliament House"
467,Brave Old Ballads
468,"Classic Scenes in Scotland, by modern artists "
469,[Histoire de la guerre de Guienne
470,A Residence on the Shores of the Baltic
471,[A Residence on the Shores of the Baltic
472,"Balmaceda, su gobierno y la revolución de 1891"
473,"Excursions from Bandon, in the South of Ireland"
474,"Summer Excursions in the neighbourhood of Banff, and vicinity of Duff-House, Bridge of Alva, &c"
475,The Fall of the Earl of Essex 
476,[Ancient Scottish Poems
477,"Journal of the Transactions in Scotland, during the contest between the adherents of Queen Mary, and those of her son, 1570, 1571, 1572, 1573"
478,Africa and the Brussels Geographical Conference 
479,"A Survey of the Holy Land; its geography history, and destiny"
480,The Baptistery 
481,"The Vision of Barabbas, and other poems"
482,Barbara's Warning
483,"The Story of Barbara; her splendid misery, and her gilded cage"
484,"A Voyage to Barbary, for the Redemption of Captives; performed, in 1720, by the Mathurin-Trinitarian Fathers, Fran, Comelin, Philemon de la Motte, and Jos"
485,Lettres 
486,"The History of Louisiana, particularly of the cession of that colony to the United States of America "
487,"Pictorial History of the State of New York, etc"
488,Historical Collections of the State of New Jersey 
489,[Historical Collections of the State of New Jersey 
490,Historical Collections of the State of New York 
491,Poems on several Occasions
492,"Sailing Directions of Henry Hudson, prepared for his use in 1608, from the old Danish of Ivar Bardsen"
493,"Stormen paa Stralsund af et combineret dansk og hollandsk Troppecorps den 31te Mai 1809, med forudgaaende Fortælling af Schills Krigerliv, samt nogle Episoder fra Hertugen af Brunsvig-Oels's Streiftog igjennem Tydskland i Juli og August 1809"
494,Märkvärdigheter rörande Sveriges förhållanden 1788-1794 
495,[The Ingoldsby Legends 
496,Station Life in New Zealand
497,Barnard
498,Speeches and Reports in the Assembly of New York at the annual session of 1838
499,"Report of the Engineer and Artillery Operations of the Army of the Potomac, from its organization to the close of the Peninsular Campaign, etc"
500,Magyarország története középiskolák alsó osztályai és polgári fiúiskolák számára 
501,The Child's Garland of Little Poems 
502,Battles and Battlefields in England 
503,Charterhouse
504,A Selection from the Poetry of Elizabeth Barrett Browning
505,The Rhyme of the Duchess May
506,The True Mary: being Mrs
507,The Devil's Portrait 
508,Les Environs de Paris
509,Les Fleuves de France
510,Les Fleuves de France
511,Les Fleuves de France
512,Les Fleuves de France
513,Biblical Geography and Antiquities 
514,[The history of the Orkney Islands
515,A Párthus és Húnmagyar Scythákról Barthal Gy
516,Travels of Anacharsis the Younger in Greece during the middle of the Fourth Century before the Christian Era 
517,Travels in Italy 
518,Les Voyages de Ludovico di Varthema 
519,The Concord Guide Book
520,Jerusalem Revisited 
521,"De Pelgrim-Vaders of Puriteinen, stichters van Nieuw Engeland, naar het Engelsch "
522,"A Pilgrimage through the Holy Land, explanatory of the Diorama of Jerusalem and the Holy Land, painted under the direction of Mr"
523,"Narrative of the Surprize and Capture of Major-General Richard Prescott, of the British Army, in his head-quarters "
524,The Life of E
525,Journal et correspondance 
526,Le Dernier rapport d'un Européen sur Ghât et les Touareg de l'Aīr
527,"Fragments inédits de l'Histoire de Louis XI par Thomas Basin, tirés d'un manuscrit de Goettingue par M"
528,Die Kurmark Brandenburg im Zusammenhange mit den Schicksalen des Gesammtstaats Preussen während der Jahre 1809 und 1810
529,La Défense de Bazeilles
530,"Bath and it's Environs, a descriptive poem, in three cantos, etc"
531,Poetical Amusements at a Villa near Bath
532,Glimpses of the Eastern Archipelago
533,The Battle between the Elephant and the Whale
534,A Lost Battle
535,Die Markgrafen Johann I
536,In Journeyings Oft
537,Schleswig-Holstein meerumschlungen
538,"Notes historiques sur la Convention Nationale, le Directoire, l'Empire et l'exil des votants"
539,"The Green Man: a comedy, in three acts "
540,Château de La Rochefoucauld en Angoumois
541,Historische und politische Aufsätze und Reden 
542,A travers le Zanguebar
543,"[Variétés bordeloises, ou essai historique et critique sur la topographie ancienne et moderne du diocèse de Bordeaux"
544,Doncaster Races
545,The Layman's Appeal for the Church; with animadversions on Mr
546,[A Journal of the Late Actions of the French at Canada
547,An Exposition of the Conduct of the two houses of G
548,Miss Bayle's Romance
549,[An Historical Memoir of the Colony of New Plymouth
550,"Psychæ, or, Songs on butterflies, &c"
551,"Nouvelle chronique de la ville de Bayonne, par un Bayonnais [i"
552,"The Crimean Expedition, to the Capture of Sebastopol"
553,The Italians of To-day 
554,"Lost Lenore; or, the Adventures of a rolling stone "
555,History of Hancock County 
556,Tracts relative to the Island of St
557,The Fall of Scepticism and Infidelity predicted; an epistle [in verse] to Dr
558,[The Castles and Abbeys of England 
559,Switzerland
560,"Agatha Beaufort; or, Family pride"
561,The Eastern Shores of the Adriatic in 1863
562,"[L'Histoire de la guerre d'Escosse, traitant comme le royaume fut assailly, en grād partie occupé par les Anglais, & depuis rendu paisible à sa reyne, & reduit en son ancien estat & dignité"
563,"Beaumaris Bay, a Poem: with notes, descriptive and explanatory; particulars of the Druids, founders of some of the fifteen tribes of North Wales, the families descended from them, and quotations from the bards"
564,Poems 
565,Contemporains de Shakspeare
566,The Island-Princess 
567,The Little French Lawyer
568,Philaster 
569,[The Scornful Ladie 
570,"Original Poems in English and Latin, with an appendix containing a dissertation &c"
571,La Roumanie
572,"The Beauties of Administration, a poem"
573,Beauty's Daughters
574,A Voyage round the World
575,Dei delitti e delle pene 
576,Caesar Beccaria über Verbrechen und Strafen
577,"Album der Haupt-und Residenzstädte Europa's, herausgegeben von L"
578,Generalmajor Olaf Rye's Tilbagetog gjennem Nørrejylland 1849 
579,[Des Rabbi Vermächtnis
580,K
581,Dramatic and Prose Miscellanies
582,Festschrift dargeboten den Mitgliedern und Teilnehmern der 65
