,Authors	Contributors,Author,Contribututors
189,,"AMICIS, Edmondo de.","TILTON, Caroline."
190,,"AMICIS, Edmondo de.","SALTIRE, Maurice."
191,,"AMICIS, Edmondo de.","BROWN, Jacob B."
192,,"AMICO E STATELLA, Vito Maria.","FERRARA, Francesco "
193,,"AMUNÁTEGUI REYES, Miguel Luis ","O'HIGGINS, Bernardo "
194,,"AMYAND, Arthur ","HAGGARD, Edward Arthur."
195,,,"MALLET, David."
196,,,"MALLET, David."
197,,,FORBES 
198,,,"BARLAS, John Evelyn."
199,,,"RAVENSCROFT, Edward "
200,,,"DAWES, William "
201,,"ANCONA, Eligio.","SOSA, Francisco "
202,,,"DENNIS, George "
203,,"Andersen, H. C. (Hans Christian)","ASHE, E."
204,,"Andersen, H. C. (Hans Christian)",BECKWITH
205,,"Andersen, H. C. (Hans Christian)",BECKWITH
206,,"Andersen, H. C. (Hans Christian)",BECKWITH
207,,"ANDERSON, Andrew A. ","WALL, Alfred Henry."
208,,"ANDERSON, George ","FINLAY, John "
209,,"Anderson, George ","Anderson, Peter"
210,,"ANDERSON, John ","BROWNE, Horace Albert."
211,,"ANDERSON, Thomas Scott.","ARMOUR, George Denholm."
212,,"ANDERSSON, Carl Johan.","LLOYD, Llewellyn "
213,,"ANDOM, R. ","HAREWOOD, Fred."
214,,,"CLUTTERBUCK, Robert Hawley."
215,,"ANDRÉE, James Lewis ","RICE, Robert Garraway."
216,,"ANDREWS, Christopher Columbus.","WILSON, James Harrison."
217,,"Andriessen, P. J. (Pieter Jacob)","HOFDIJK, Willem Jacobs."
218,,"ANGELL, Israel.","FIELD, Edward "
219,,,"PORT, Célestin."
220,,"ANGLÈS, Jules Jean Baptiste ",FIRMIN
221,,Masaniello,"SOANE, George."
222,,"ANKEL, Otto.","FISCHER, Friedrich Theobald."
223,,,"JORDAN, Denham."
224,,,"DASENT, George Webbe "
225,,,"BLAIR, Andrew "
226,,,"Field, Michael."
227,,"ANNESLEY, George ","SALT, Henry."
228,,,"TABOR, afterwards STEPHENSON, Eliza."
229,,"ANNOVAZZI, Vincenzo Giovanni Niccola ","ANNOVAZZI, Biagio."
230,,"ANSALDI, Giuseppe.","BERTACCHI, Angiolo."
231,,"ANSON, Elizabeth ","MALLET, David."
232,,"ANSTED, David Thomas ","NAFTEL, Paul Jacob."
233,,"ANSTED, David Thomas ","LATHAM, Robert Gordon."
234,,"ANSTEY, Christopher.","Britton, John"
235,,"Anstey, F.","PARTRIDGE, J. Bernard "
236,,"Anstey, F.","PARTRIDGE, J. Bernard "
237,,"ANTEPARA, José María.","Miranda, Francisco de"
238,,,"ROLLESTON, Matthew."
239,,,"BARRY, William Francis."
240,,,FLANNIGAN 
241,,,"THOMSON, Richard "
242,,,"GOMPERTZ, Isaac."
243,,,"GILDEMEISTER, Johann."
244,,,"Ruffini, Giovanni"
245,,,"OLDMIXON, John "
246,,,"CROSS, John C. "
247,,,"EVANS, Abel."
248,,,"RYMER, James Malcolm."
249,,,Inchbald 
250,,,"GREENWOOD, William "
251,,"APPLETON, Nathan ","LOWELL, John Amory."
252,,,"SAINT JOHN, Vane Ireton."
253,,,"O'HARA, Kane."
254,,Apuleius.,"GURNEY, Hudson."
255,,Apuleius.,"G., H."
256,,,"MACDONALD, Alexander "
257,,"ARBER, Edward.","POLLARD, Alfred William "
258,,"ARBOIS DE JUBAINVILLE, Marie Henri d'.","PIGEOTTE, Léon."
259,,"ARBOIS DE JUBAINVILLE, Marie Henri d'.","DOTTIN, Georges."
260,,"ARCHINTI, Luigi.","Micca, Pietro"
261,,"ARCOLEO, Giorgio.","COMBES DE LESTRADE, Gaëtan "
262,,,"MANGLES, James."
263,,"ARDEN, Thomas ","BULLEN, Arthur Henry."
264,,"ARDOUIN DUMAZET, Victor Eugène.","DRAPEYRON, Ludovic."
265,,"ARDUESER, Johann.","BOTT, Jacob."
266,,"AREND, Johannes Pieter.","BRILL, Willem Gerrit."
267,,,"LANDOR, Robert Eyres."
268,,,"ANGELUCCI, Giulio Anastasio."
269,,"ARGENS, Pierre Olivier d'.","BEAUMONT, Charles de "
270,,,"BANKS, William Mitchell "
271,,,"BELL, William Boscawen."
272,,"ARGOUGES, Florent d'.","VAYSSIÈRE, A. "
273,,"ARIAS DE MIRANDA, José.","FERNÁNDEZ GUERRA Y ORBE, Aureliano."
274,,"ARISTE, Louis ","BRAUD, Louis."
275,,,"J., F."
276,,,"DUNSTER, Charles."
277,,Aristotle.,"TAYLOR, Thomas "
278,,Aristotle.,"MICHELET, Carl Ludwig."
279,,Aristotle.,"Bekker, Immanuel"
280,,Aristotle.,"MILLON, Charles "
281,,,Baring
282,,"ARMSTRONG, Nelly.","WHITEHEAD, Sarah R."
283,,"ARNAULD, Charles.","BAUGIER, Antoine."
284,,"ARNAULT, Antoine Vincent.","BERNEL, George."
285,,"Arnold, Edwin ","PRITCHETT, Robert Taylor "
286,,"ARNOLD, Henrietta.","ARNOLD, Charlotte."
287,,"ARNOLD, Jessie.","RYMER, James Malcolm."
288,,"ARNOLD, John.","WILSON, William "
289,,"ARNOLD, Julian Tregenna Biddulph.","Arnold, Edwin "
290,,"ARNOLD, Lettice.","MARSH, afterwards MARSH"
291,,"Arnold, Matthew","ARNOLD, Eleanor "
292,,"ARNOLD, Thomas ","PRICE, Bonamy."
293,,"ARNOLDSON, Klas Pontus.","HEDIN, Adolf."
294,,"ARRIANUS, Flavius.","ROOKE, John "
295,,"ARRIANUS, Flavius.","ROOKE, John "
296,,"ARRIANUS, Flavius.","CHINNOCK, Edward James."
297,,"ARRIANUS, Flavius.","HOFFMANN, Samuel Friedrich Wilhelm."
298,,"ARRIANUS, Flavius.","CHOTARD, Henry."
299,,"ARRIGONI, Giuseppe.","ARRIGONI, Luigi "
300,,"ARROW, Frederick ","SMITH, Augustus John."
301,,"ARROWSMITH, Aron ","NICOLAY, Charles Grenfell."
302,,,"ARMSTRONG, John "
303,,,"CONCANEN, Matthew "
304,,,"NEVILLE, Mary."
305,,,"KNAPP, John Leonard."
306,,,"Craik, Dinah Maria Mulock"
307,,,"FAWCETT, Edgar."
308,,"ARTHUR, Thomas W.","TUCK, George."
309,,"ARTHUR, Timothy Shay.","KIRTON, John William."
310,,,"PLIMSOLL, Joseph."
311,,,"COCHRANE, Alexander Dundas Ross "
312,,,"WARREN, Elizabeth "
313,,,"SCHIMMELPENNINCK, Mary Anne "
314,,"ASHBURNHAM, John ","ASHBURNHAM, George "
315,,"ASHDOWN, Charles Henry.","KITTON, Frederic George."
316,,,"DE WINTON, afterwards STRETTON, Julia Cecilia."
317,,"ASHTON, John ","LETTS, Charles J."
318,,,"Braddon, M. E. (Mary Elizabeth)"
319,,"Aspin, Jehoshaphat","WAUTHIER, J. M."
320,,"Aspin, Jehoshaphat","WAUTHIER, J. M."
321,,,"POTE, B. E."
322,,"ASSELINE, David.","HARDY, Michel."
323,,"ASSERMAN, Ferencz.","Görgey, Artúr"
324,,,OFFLEY 
325,,"AST, Georg Anton Friedrich.","EICHSTAEDT, Heinrich Carl Abraham."
326,,"ASTIÉ, Jean Frédéric.","LEFEBVRE LABOULAYE, Édouard René."
327,,,"TABOR, afterwards STEPHENSON, Eliza."
328,,,"RALPH, James "
329,,"ASTRUP, Eivind.","HOLMBOE, Thorolf."
330,,"ASTRUP, Eivind.","BULL, Henrik Johan."
331,,,"COLVILL, Robert."
332,,,"Roberts, Margaret"
333,,,"Roberts, Margaret"
334,,"ATHANASI, Giovanni d'.","SALT, Henry."
335,,,"BROWN, John "
336,,,"KELSALL, Charles."
337,,"ATHERSTONE, Edwin.","ATHERSTONE, Mary Elizabeth."
338,,"ATHERTON, Harper.","FOWLER, Frank."
339,,"ATLEY, H.","ROBERTS, William "
340,,"ATWATER, Francis.","GRIGGS, Leverett Stearns."
341,,"AUBEL, Hermann ","AUBEL, Carl."
342,,"AUBERT DE LA FAIGE, Geneste Émile ","LA BOUTRESSE, Roger de."
343,,"AUBRET, Louis.","GUIGUE, Marie Claude."
344,,,"SIMPSON, Wolley."
345,,"AUDIAT, Louis.","FAYET, Antoine."
346,,"AUFLEGER, Otto ","SCHMID, Wolfgang Maria."
347,,"AUGE, E.","FRAIPONT, Gustave."
348,,"AUGÉ DE LASSUS, Lucien.","GROMMÉ, W. T."
349,,AUGET DE SAINT,"MERLE, Jean Toussaint."
350,,,"RUSSELL, William Clark."
351,,"AUNAY, Alfred d' ","FAURE, Émile Valentin César."
352,,"Austen, Jane","DOBSON, Henry Austin."
353,,"Austen, Jane","DOBSON, Henry Austin."
354,,"Austen, Jane","Dobson, Austin"
355,,"Austen, Jane","Brock, C. E. (Charles Edmund)"
356,,"Austen, Jane","Dobson, Austin"
357,,,"WATTS, Alfred "
358,,,"HART, Francis "
359,,,"GILL, Alfred."
360,,,"Caswall, Alfred."
361,,,"TRANT, Thomas Abercromby."
362,,AVEZAC,"VARNHAGEN, Francisco Adolfo de "
363,,AVEZAC,"CABOT, John."
364,,AVEZAC,"BÉTHENCOURT, Jean de "
365,,AVEZAC,"VARNHAGEN, Francisco Adolfo de "
366,,,"Craik, Dinah Maria Mulock"
367,,,"GEDDES, Alexander."
368,,"Azara, Félix de","AZARA, Agustin de "
369,,"Azara, Félix de","AZARA, Agustin de "
370,,"Azara, Félix de","RIVADAVIA, Bernardino de la Trinidad "
371,,,"EDWY, King of England"
372,,,"CHICHESTER, Frederick Richard "
373,,,"CHICHESTER, Frederick Richard "
374,,,"CHICHESTER, Frederick Richard "
375,,,"CHICHESTER, Frederick Richard "
376,,,"CHICHESTER, Frederick Richard "
377,,,"BOSCAWEN, Frances Evelyn."
378,,"B., A. M.","BULKLEY, A. M."
379,,"B., C. C.","BENTON, C. C."
380,,"B., E.","BENSON, Eliza."
381,,"B., E. ","BURT, Edward "
382,,"B., E. F.","BEVAN, Emma Frances."
383,,"B., E. F.","BEVAN, Emma Frances."
384,,"B., E. L.","LA BAUME LE BLANC, Louise Françoise de "
385,,"B., E. L.","BLANCHARD, Edward Litt Leman."
386,,"B., F. W. L.","BUTTERFIELD, Frederick William Louis "
387,,"B., G. H.","BUDD, G. H."
388,,"B., H. N.","BURDEN, Harold Nelson."
389,,"B., J.","CAVENDISH, Henry Frederick Compton."
390,,"B., J.","BREIT, József."
391,,"B., J. C.","BONNEFONS, J. C."
392,,"Becker, Johann Michael.","BULLOCH, John Malcolm."
393,,"B., J. T.","BOTTLE, Joshua T."
394,,"B., J. T.","BULLOCK, James Trower."
395,,"B., L.","SZABÓ, Lajos "
396,,"B., L.","BENTON, Lucy."
397,,"B., M. A. C. L. L.","BUCHON, Jean Alexandre C."
398,,"B., M. E. P.","BOULIGNY, M. E. Parker."
399,,"B., P. L.","BROCKLEHURST, Philip Lancaster."
400,,"B., S. A.","BUNNING, S. A."
401,,"B., T. A.","BOULTON, Thomas A."
402,,"B., T. W.","BEAUMONT, Thomas Wentworth."
403,,"B., W.","Mulready, William"
404,,"B., W.","BUTLER, William "
405,,"Besant, Walter ","Rice, James"
406,,"B., W. B.","BAIKIE, William Balfour."
407,,"B., W. C.","BURNET, W. C."
408,,"B., W. C.","BORLASE, William Copeland."
409,,,"BUCKSTONE, John Baldwin."
410,,"BABINGTON, William Dalton.","Macdonnell, Hercules H. G. (Hercules Henry Graves)"
411,,,"RUSSELL, William Clark."
412,,"BACH, Max ","LOTTER, Carl "
413,,,"VICTOR, Henry."
414,,"BACON, Edwin Munroe.","ELLIS, George Edward "
415,,"Bacon, Francis","MONTAGU, Basil."
416,,"Bacon, Francis","FUERSTENHAGEN, J."
417,,"Bacon, Francis","MOFFETT, Thomas W."
418,,"BACON, Nathaniel ","RICHARDSON, William Henry "
419,,"BACON, Thomas ","FINDEN, Edward Francis."
420,,,"HUHN, Eugen."
421,,"BADEN, Gustav Ludvig.","FELDBORG, Andreas Andersen."
422,,"BADERTSCHER, Gustav Adolf.","Balmer, Hans."
423,,"BAEBLER, Johann Jacob ","FALKENSTEIN, Thomas von."
424,,"BAER, Wilhelm.","HELLWALD, Friedrich Anton Heller von "
425,,"BAESTEN, Vincent.","ALSLOOT, Denis van."
426,,"BAGEHOT, Walter.","HUTTON, Richard Holt."
427,,"BAGG, J. N.","VERMILYE, Thomas Edward."
428,,"BAGIŃSKI, Wojciech Wincenty Kanty.","TYSZKIEWICZ, Eustachy "
429,,"BAGUENIER DESORMEAUX, Henri.","BONCHAMPS, Charles Melchior Artus de "
430,,,"Eastwick, Edward Backhouse"
431,,"BAIGENT, Francis Joseph ","MILLARD, James Elwin."
432,,"BAIKIE, Robert ","SMOULT, William Hunter."
433,,"BAIKIE, Robert ","SMOULT, William Hunter."
434,,"BAILEY, Sarah Loring.","WRIGHT, George Frederick."
435,,"BAILLIE, Marianne.","B., A."
436,,"BAILLY, Jean Sylvain.","JACQUE, James."
437,,"BAIN, George ","TODD, George Eyre."
438,,"BAINES, Edward ","PARSON, William."
439,,"BAINES, Edward ","WHATTON, William Robert."
440,,"BAINES, Edward ","HARLAND, John "
441,,"BAINES, Edward ","CROSTON, James."
442,,"BAINES, Edward ","GRIMSHAW, William "
443,,"BAINES, Thomas ","BAINES, M. A."
444,,"BAKER, Ella.","BAKER, Thomas "
445,,"BAKER, Ella.","BAKER, Thomas "
446,,"BAKER, Henry Barton.","HARPER, Charles George."
447,,"BAKER, James ","WHATLEY, H."
448,,"BAKER, Robert ","YORKE, Skelton."
449,,"BAKER, Samuel White ","MASSON, Gustave "
450,,"BAKER, Samuel White ","MARTIN, J. E. A."
451,,"BAKER, Samuel White ","DURAND, Godefroy."
452,,"BAKER, Thomas Stockham.","LENAU, Nicolaus "
453,,"BAKKER, J. D. ","DEELSTRA, F."
454,,"BALASQUE, Jules.","DULAURENS, Ernest."
455,,,"Szerelmey, Miklós."
456,,"BALBI, Adriano.","FABREGAS, Sebastian."
457,,"BALBI, Eugenio.","BALBI, Adriano."
458,,"BALCH, Thomas ","BALCH, Edwin Swift."
459,,"BALDERSTON, Robert R. ","BALDERSTON, Margaret."
460,,"BALDWIN, Thomas ","THOMAS, Joseph "
461,,"BALDWIN, William Charles.","WOLF, James "
462,,"BALFOUR, James ","HAIG, James "
463,,"BALIOL, Martha Bethune.","SKENE, Harriet."
464,,"BALL, afterwards FITZBALL, Edward.","WALLACE, William Vincent "
465,,"BALL, Henry William.","POULSON, George."
466,,,"PAUL, James Balfour "
467,,,"Gilbert, John "
468,,"BALLINGALL, William.","Harvey, George"
469,,"BALTAZAR, Jean.","BARRY, Charles "
470,,,"RIGBY, Elizabeth "
471,,,"RIGBY, Elizabeth "
472,,"BAÑADOS ESPINOSA, Julio.","BALMACEDA, José Manuel "
473,,,"SHEAHAN, Thomas."
474,,,"HARPER, Alexander "
475,,"BANKS, John ","RALPH, James "
476,,"BANNATYNE, George ","DALRYMPLE, David "
477,,"BANNATYNE, Richard.","DALYELL, John Graham "
478,,"BANNING, Emile.","MAJOR, Ralph Hermon."
479,,"BANNISTER, John Thomas.","MARSH, William "
480,,,"WILLIAMS, Isaac "
481,,,"BROWN, John Joseph."
482,,,"HOUSTOUN, Matilda Charlotte."
483,,,"Braddon, M. E. (Mary Elizabeth)"
484,,,"BERNARD, Joseph "
485,,"Barbe, Philippe.","CARNANDET, Jean Baptiste."
486,,BARBÉ,"LAWRENCE, William Beach."
487,,"BARBER, John Warner.","HOWE, Henry."
488,,"BARBER, John Warner ","HOWE, Henry."
489,,"BARBER, John Warner ","HOWE, Henry."
490,,"BARBER, John Warner ","HOWE, Henry."
491,,"BARBER, Mary ","GRIERSON, Constantia "
492,,"BÁRĐARSON, Ívar.","DE COSTA, Benjamin Franklin."
493,,"BARDENFLETH, Frederik Løvenørn von.","SCHILL, Ferdinand von."
494,,"BARFOD, Johan Christopher Georg.",HYLTÉN
495,,"Ingoldsby, Thomas","BARHAM, Richard Harris Dalton."
496,,"BARKER, afterwards BROOME, Mary Anne ","B., F. N."
497,,,"SMITH, John Stores."
498,,"BARNARD, Daniel Dewey.","S., J. B. V."
499,,"BARNARD, John Gross ","BARRY, William Farquhar."
500,,"BARÓTI, Lajos ","CSÁNKI, Dezső."
501,,"BARR, Matthias.","GIACOMELLI, Hector."
502,,"BARRETT, Charles Raymond Booth.","TRAILL, Henry Duff."
503,,"BARRETT, Charles Raymond Booth.","SMYTHE, George Edward."
504,,"Browning, Elizabeth Barrett","B., R."
505,,"Browning, Elizabeth Barrett","MORRELL, Charlotte M. B."
506,,"Browning, Elizabeth Barrett",Alcoholics Anonymous.
507,,"BARRILI, Anton Giulio.","WODEHOUSE, Evelyn."
508,,"BARRON, Louis.","FRAIPONT, Gustave."
509,,"BARRON, Louis.","CHAPON, A."
510,,"BARRON, Louis.","CHAPON, A."
511,,"BARRON, Louis.","CHAPON, A."
512,,"BARRON, Louis.","CHAPON, A."
513,,"BARROWS, Elijah Porter.","COWPER, Benjamin Harris."
514,,"BARRY, George.","HEADRICK, James."
515,,"BARTAL, György ","TOLDY, Ferencz."
516,,"BARTHÉLEMY, Jean Jacques.","BEAUMONT, William "
517,,"BARTHÉLEMY, Jean Jacques.","JACQUIER, François "
518,,"BARTHEMA, Lodovico.","BALARIN DE RACONIS, J."
519,,"BARTLETT, George Bradford.","HUMPHREY, L. B. "
520,,"Bartlett, W. H. (William Henry)","BARTLETT, Frederick Augustus."
521,,"Bartlett, W. H. (William Henry)","SWALUE, Edelhardus Bernardus."
522,,"BARTLETT, William Henry.","BEVERLY, William."
523,,"BARTON, William ","PRESCOTT, Richard "
524,,"BARTTELOT, Edmund Musgrave.","Barttelot, Walter George."
525,,"BARTTELOT, Edmund Musgrave.","Barttelot, Walter George."
526,,"BARY, Erwin de.","SCHIRMER, Henri "
527,,"BASIN, Thomas ","DELISLE, Léopold Victor."
528,,"BASSEWITZ, Magnus Friedrich von.","REINHARD, Carl von "
529,,"BASTARD, Georges ","Neuville, Alphonse Marie de"
